,id,show_id,type,director,full_name,title,release_year,description,category,won
1834,15024,70108777,Movie,Quentin Tarantino,Martin Wuttke,Inglourious Basterds,2009,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",CAST IN A MOTION PICTURE,True
1843,15258,80073823,Movie,Lenny Abrahamson,Brie Larson,Room,2015,"Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape.",FEMALE LEAD,True
1847,15259,80073823,Movie,Lenny Abrahamson,Jacob Tremblay,Room,2015,"Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape.",MALE SUPPORT,False
1848,15259,80073823,Movie,Lenny Abrahamson,Jacob Tremblay,Room,2015,"Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape.",MALE SUPPORT,False
1873,15818,70084148,Movie,Courtney Hunt,Melissa Leo,Frozen River,2008,"On a Mohawk reservation on the Canadian border, Ray Eddy teams with a widowed tribe member to smuggle illegal immigrants into the United States.",FEMALE LEAD ROLE,False
1884,17506,80049358,Movie,Danny Boyle,Michael Fassbender,Steve Jobs,2015,"By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.",MALE LEAD,False
1885,17507,80049358,Movie,Danny Boyle,Kate Winslet,Steve Jobs,2015,"By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.",FEMALE SUPPORT,False
1907,17538,70275751,Movie,Jean-Marc Vallée,Matthew Mcconaughey,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",CAST IN A MOTION PICTURE,False
1909,17538,70275751,Movie,Jean-Marc Vallée,Matthew Mcconaughey,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",MALE LEAD ROLE,True
1914,17539,70275751,Movie,Jean-Marc Vallée,Jennifer Garner,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",CAST IN A MOTION PICTURE,False
1921,17540,70275751,Movie,Jean-Marc Vallée,Jared Leto,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",CAST IN A MOTION PICTURE,False
1926,17540,70275751,Movie,Jean-Marc Vallée,Jared Leto,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",MALE SUPPORTING ROLE,True
1928,17541,70275751,Movie,Jean-Marc Vallée,Denis O'Hare,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",CAST IN A MOTION PICTURE,False
1940,17542,70275751,Movie,Jean-Marc Vallée,Steve Zahn,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",CAST IN A MOTION PICTURE,False
1951,17544,70275751,Movie,Jean-Marc Vallée,Dallas Roberts,Dallas Buyers Club,2013,"Refusing to accept a death sentence from his doctor after being diagnosed with AIDS in 1986, Ron Woodroof smuggles medications from abroad.",CAST IN A MOTION PICTURE,False
1984,17911,70244163,Movie,Paul Thomas Anderson,Philip Seymour Hoffman,The Master,2012,"A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion.""",MALE SUPPORTING ROLE,False
1997,17986,70113534,Movie,David O. Russell,Mark Wahlberg,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",CAST IN A MOTION PICTURE,False
2003,17987,70113534,Movie,David O. Russell,Christian Bale,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",CAST IN A MOTION PICTURE,False
2009,17987,70113534,Movie,David O. Russell,Christian Bale,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",MALE SUPPORTING ROLE,True
2010,17988,70113534,Movie,David O. Russell,Amy Adams,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",CAST IN A MOTION PICTURE,False
2015,17988,70113534,Movie,David O. Russell,Amy Adams,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",FEMALE SUPPORTING ROLE,False
2022,17989,70113534,Movie,David O. Russell,Melissa Leo,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",CAST IN A MOTION PICTURE,False
2024,17989,70113534,Movie,David O. Russell,Melissa Leo,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",FEMALE SUPPORTING ROLE,True
2028,17990,70113534,Movie,David O. Russell,Jack Mcgee,The Fighter,2010,"After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",CAST IN A MOTION PICTURE,False
2093,18208,60000407,Movie,Sam Mendes,Kevin Spacey,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2099,18208,60000407,Movie,Sam Mendes,Kevin Spacey,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",MALE LEAD ROLE,True
2102,18209,60000407,Movie,Sam Mendes,Annette Bening,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2109,18209,60000407,Movie,Sam Mendes,Annette Bening,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",FEMALE LEAD ROLE,True
2118,18210,60000407,Movie,Sam Mendes,Thora Birch,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2130,18211,60000407,Movie,Sam Mendes,Wes Bentley,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2138,18212,60000407,Movie,Sam Mendes,Mena Suvari,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2147,18213,60000407,Movie,Sam Mendes,Chris Cooper,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2155,18213,60000407,Movie,Sam Mendes,Chris Cooper,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",MALE SUPPORTING ROLE,False
2161,18214,60000407,Movie,Sam Mendes,Peter Gallagher,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2167,18215,60000407,Movie,Sam Mendes,Allison Janney,American Beauty,1999,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",CAST IN A MOTION PICTURE,True
2201,18268,1181488,Movie,James L. Brooks,Jack Nicholson,As Good As It Gets,1997,"The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.",MALE LEAD ROLE,True
2203,18269,1181488,Movie,James L. Brooks,Helen Hunt,As Good As It Gets,1997,"The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.",FEMALE LEAD ROLE,True
2208,18270,1181488,Movie,James L. Brooks,Greg Kinnear,As Good As It Gets,1997,"The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.",MALE SUPPORTING ROLE,False
2226,18298,60024942,Movie,Steven Spielberg,Christopher Walken,Catch Me If You Can,2002,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",MALE SUPPORTING ROLE,True
2243,18575,70065096,Movie,Adam Shankman,Nikki Blonsky,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2254,18576,70065096,Movie,Adam Shankman,John Travolta,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2268,18577,70065096,Movie,Adam Shankman,Michelle Pfeiffer,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2276,18578,70065096,Movie,Adam Shankman,Christopher Walken,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2287,18579,70065096,Movie,Adam Shankman,Amanda Bynes,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2304,18580,70065096,Movie,Adam Shankman,James Marsden,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2323,18581,70065096,Movie,Adam Shankman,Queen Latifah,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2337,18582,70065096,Movie,Adam Shankman,Zac Efron,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2340,18583,70065096,Movie,Adam Shankman,Brittany Snow,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2351,18584,70065096,Movie,Adam Shankman,Allison Janney,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2368,18585,70065096,Movie,Adam Shankman,Elijah Kelley,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2383,18586,70065096,Movie,Adam Shankman,Jerry Stiller,Hairspray,2007,"In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",CAST IN A MOTION PICTURE,False
2390,18651,70112732,Movie,Nora Ephron,Meryl Streep,Julie & Julia,2009,"In this heartwarming tale, Julie Powell decides to spice up her uneventful life by cooking all 524 recipes outlined in Julia Child's classic cookbook.",FEMALE LEAD ROLE,False
2402,18726,60000440,Movie,Paul Thomas Anderson,Jeremy Blackman,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2429,18727,60000440,Movie,Paul Thomas Anderson,Tom Cruise,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2432,18727,60000440,Movie,Paul Thomas Anderson,Tom Cruise,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",MALE SUPPORTING ROLE,False
2440,18728,60000440,Movie,Paul Thomas Anderson,Melinda Dillon,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2451,18729,60000440,Movie,Paul Thomas Anderson,April Grace,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2473,18730,60000440,Movie,Paul Thomas Anderson,Luis Guzmán,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2494,18731,60000440,Movie,Paul Thomas Anderson,Philip Baker Hall,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2512,18732,60000440,Movie,Paul Thomas Anderson,Philip Seymour Hoffman,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2530,18733,60000440,Movie,Paul Thomas Anderson,Ricky Jay,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2549,18734,60000440,Movie,Paul Thomas Anderson,William H. Macy,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2552,18735,60000440,Movie,Paul Thomas Anderson,Alfred Molina,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2574,18736,60000440,Movie,Paul Thomas Anderson,Julianne Moore,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2584,18736,60000440,Movie,Paul Thomas Anderson,Julianne Moore,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",FEMALE SUPPORTING ROLE,False
2595,18737,60000440,Movie,Paul Thomas Anderson,Michael Murphy,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2607,18738,60000440,Movie,Paul Thomas Anderson,John C. Reilly,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2622,18739,60000440,Movie,Paul Thomas Anderson,Jason Robards,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2645,18740,60000440,Movie,Paul Thomas Anderson,Melora Walters,Magnolia,1999,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",CAST IN A MOTION PICTURE,False
2674,19186,70117902,Movie,Jason Reitman,George Clooney,Up In The Air,2009,"Ryan Bingham flies around the country firing employees on behalf of companies, but he faces losing the job he savors to recent college grad Natalie.",MALE LEAD ROLE,False
2678,19188,70117902,Movie,Jason Reitman,Anna Kendrick,Up In The Air,2009,"Ryan Bingham flies around the country firing employees on behalf of companies, but he faces losing the job he savors to recent college grad Natalie.",FEMALE SUPPORTING ROLE,False
2706,19270,70045866,Movie,Alejandro G. Iñárritu,Brad Pitt,Babel,2006,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",CAST IN A MOTION PICTURE,False
2715,19271,70045866,Movie,Alejandro G. Iñárritu,Cate Blanchett,Babel,2006,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",CAST IN A MOTION PICTURE,False
2724,19272,70045866,Movie,Alejandro G. Iñárritu,Gael García Bernal,Babel,2006,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",CAST IN A MOTION PICTURE,False
2737,19274,70045866,Movie,Alejandro G. Iñárritu,Adriana Barraza,Babel,2006,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",CAST IN A MOTION PICTURE,False
2743,19274,70045866,Movie,Alejandro G. Iñárritu,Adriana Barraza,Babel,2006,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",FEMALE SUPPORTING ROLE,False
2750,19275,70045866,Movie,Alejandro G. Iñárritu,Rinko Kikuchi,Babel,2006,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",CAST IN A MOTION PICTURE,False
2752,19275,70045866,Movie,Alejandro G. Iñárritu,Rinko Kikuchi,Babel,2006,"When an American couple vacationing in Morocco falls victim to a random act of violence, a series of events unfolds across four countries.",FEMALE SUPPORTING ROLE,False
2793,19345,80108616,Movie,David Mackenzie,Jeff Bridges,Hell Or High Water,2016,"In a desperate bid to save their family ranch, two brothers stage a series of clever bank robberies with a pair of Texas Rangers in hot pursuit.",MALE SUPPORT,False
2803,19486,880640,Movie,Quentin Tarantino,John Travolta,Pulp Fiction,1994,"This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.",MALE LEAD ROLE,False
2807,19487,880640,Movie,Quentin Tarantino,Samuel L. Jackson,Pulp Fiction,1994,"This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.",MALE SUPPORTING ROLE,False
2808,19488,880640,Movie,Quentin Tarantino,Uma Thurman,Pulp Fiction,1994,"This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.",FEMALE SUPPORTING ROLE,False
2838,20758,70251896,Movie,Steven Spielberg,Daniel Day-Lewis,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",CAST IN A MOTION PICTURE,False
2846,20758,70251896,Movie,Steven Spielberg,Daniel Day-Lewis,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",MALE LEAD ROLE,True
2853,20759,70251896,Movie,Steven Spielberg,Sally Field,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",CAST IN A MOTION PICTURE,False
2855,20759,70251896,Movie,Steven Spielberg,Sally Field,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",FEMALE SUPPORTING ROLE,False
2859,20760,70251896,Movie,Steven Spielberg,David Strathairn,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",CAST IN A MOTION PICTURE,False
2872,20761,70251896,Movie,Steven Spielberg,Joseph Gordon-Levitt,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",CAST IN A MOTION PICTURE,False
2881,20762,70251896,Movie,Steven Spielberg,James Spader,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",CAST IN A MOTION PICTURE,False
2890,20763,70251896,Movie,Steven Spielberg,Hal Holbrook,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",CAST IN A MOTION PICTURE,False
2904,20764,70251896,Movie,Steven Spielberg,Tommy Lee Jones,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",CAST IN A MOTION PICTURE,False
2907,20764,70251896,Movie,Steven Spielberg,Tommy Lee Jones,Lincoln,2012,"Director Steven Spielberg takes on the towering legacy of Abraham Lincoln, focusing on his stewardship of the Union during the Civil War years.",MALE SUPPORTING ROLE,True
2991,21048,70100084,Movie,Gus Van Sant,Sean Penn,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
2993,21048,70100084,Movie,Gus Van Sant,Sean Penn,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",MALE LEAD ROLE,True
2998,21049,70100084,Movie,Gus Van Sant,Emile Hirsch,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3012,21050,70100084,Movie,Gus Van Sant,Josh Brolin,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3016,21050,70100084,Movie,Gus Van Sant,Josh Brolin,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",MALE SUPPORTING ROLE,False
3019,21051,70100084,Movie,Gus Van Sant,Diego Luna,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3032,21052,70100084,Movie,Gus Van Sant,James Franco,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3039,21053,70100084,Movie,Gus Van Sant,Alison Pill,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3058,21054,70100084,Movie,Gus Van Sant,Victor Garber,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3062,21055,70100084,Movie,Gus Van Sant,Denis O'Hare,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3077,21056,70100084,Movie,Gus Van Sant,Joseph Cross,Milk,2008,"Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",CAST IN A MOTION PICTURE,False
3117,21502,60003378,Movie,Stephen Daldry,Jamie Bell,Billy Elliot,2000,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",CAST IN A MOTION PICTURE,False
3121,21502,60003378,Movie,Stephen Daldry,Jamie Bell,Billy Elliot,2000,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",MALE LEAD ROLE,False
3122,21503,60003378,Movie,Stephen Daldry,Gary Lewis,Billy Elliot,2000,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",CAST IN A MOTION PICTURE,False
3190,21514,60003378,Movie,Stephen Daldry,Jamie Draven,Billy Elliot,2000,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",CAST IN A MOTION PICTURE,False
3197,21515,60003378,Movie,Stephen Daldry,Julie Walters,Billy Elliot,2000,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",CAST IN A MOTION PICTURE,False
3198,21515,60003378,Movie,Stephen Daldry,Julie Walters,Billy Elliot,2000,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",FEMALE SUPPORTING ROLE,False
3212,22107,80223779,Movie,Noah Baumbach,Scarlett Johansson,Marriage Story,2019,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together., FEMALE ACTOR IN A LEADING ROLE,False
3216,22108,80223779,Movie,Noah Baumbach,Adam Driver,Marriage Story,2019,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together., MALE ACTOR IN A LEADING ROLE,False
3220,22109,80223779,Movie,Noah Baumbach,Laura Dern,Marriage Story,2019,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together., FEMALE ACTOR IN A SUPPORTING ROLE,True
3236,22242,80042368,Movie,Sofia Coppola,Bill Murray,A Very Murray Christmas,2015,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",MALE TV MOVIE OR MINISERIES,False
3465,23763,80058477,Movie,Tom Hooper,Eddie Redmayne,The Danish Girl,2015,"In 1920s Denmark, married artists embark on a journey of unconditional love when the husband announces his intentions to live life as a woman.",MALE LEAD,False
3466,23764,80058477,Movie,Tom Hooper,Alicia Vikander,The Danish Girl,2015,"In 1920s Denmark, married artists embark on a journey of unconditional love when the husband announces his intentions to live life as a woman.",FEMALE SUPPORT,True
3487,23821,80000644,Movie,James Marsh,Emily Watson,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",CAST IN A MOTION PICTURE,False
3492,23822,80000644,Movie,James Marsh,Charlie Cox,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",CAST IN A MOTION PICTURE,False
3504,23823,80000644,Movie,James Marsh,Felicity Jones,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",CAST IN A MOTION PICTURE,False
3506,23823,80000644,Movie,James Marsh,Felicity Jones,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",FEMALE ACTOR IN A LEADING ROLE,False
3526,23826,80000644,Movie,James Marsh,Eddie Redmayne,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",CAST IN A MOTION PICTURE,False
3531,23826,80000644,Movie,James Marsh,Eddie Redmayne,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",MALE ACTOR IN A LEADING ROLE,True
3533,23827,80000644,Movie,James Marsh,David Thewlis,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",CAST IN A MOTION PICTURE,False
3545,23828,80000644,Movie,James Marsh,Simon Mcburney,The Theory Of Everything,2014,"As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane.",CAST IN A MOTION PICTURE,False
3709,24486,70023451,Movie,Craig Brewer,Terrence Howard,Hustle & Flow,2005,A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.,CAST IN A MOTION PICTURE,False
3710,24487,70023451,Movie,Craig Brewer,Anthony Anderson,Hustle & Flow,2005,A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.,CAST IN A MOTION PICTURE,False
3726,24488,70023451,Movie,Craig Brewer,Taryn Manning,Hustle & Flow,2005,A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.,CAST IN A MOTION PICTURE,False
3734,24489,70023451,Movie,Craig Brewer,Taraji P. Henson,Hustle & Flow,2005,A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.,CAST IN A MOTION PICTURE,False
